category.name,category.desc,project.name,project.link,link.git,project.desc
Bean Mapping,Frameworks that ease bean mapping.,dOOv,https://github.com/doov-io/doov,true,"Provides fluent API for typesafe domain model validation and mapping. It uses annotations, code generation and a type safe DSL to make bean validation and mapping fast and easy."
Bean Mapping,Frameworks that ease bean mapping.,Dozer,https://github.com/DozerMapper/dozer,true,Mapper that copies data from one object to another using annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,JMapper,https://github.com/jmapper-framework/jmapper-core,true,Uses byte code manipulation for lightning-fast mapping. Supports annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,MapStruct,https://github.com/mapstruct/mapstruct,true,"Code generator that simplifies mappings between different bean types, based on a convention-over-configuration approach."
Bean Mapping,Frameworks that ease bean mapping.,ModelMapper,https://github.com/modelmapper/modelmapper,true,Intelligent object mapping library that automatically maps objects to each other.
Bean Mapping,Frameworks that ease bean mapping.,Orika,https://github.com/orika-mapper/orika,true,JavaBean-mapping framework that recursively copies
Bean Mapping,Frameworks that ease bean mapping.,reMap,https://github.com/remondis-it/remap,true,Lambda and method handle-based mapping which requires code and not annotations if objects have different names.
Bean Mapping,Frameworks that ease bean mapping.,Selma,https://github.com/xebia-france/selma,true,Annotation processor-based bean mapper.
