category.name,category.desc,project.name,project.link,link.git,project.branch,project.desc
Monitoring,Tools that monitor applications in production.,JavaMelody,https://github.com/javamelody/javamelody,true,master,Performance monitoring and profiling.
Monitoring,Tools that monitor applications in production.,Jaeger client,https://github.com/jaegertracing/jaeger-client-java,true,master,Jaeger client.
Monitoring,Tools that monitor applications in production.,jmxtrans,https://github.com/jmxtrans/jmxtrans,true,master,"Connect to multiple JVMs and query them for their attributes via JMX. Its query language is based on JSON, which allows non-Java programmers to access the JVM attributes. Supports different output writes, including Graphite, Ganglia, and StatsD."
Monitoring,Tools that monitor applications in production.,Jolokia,https://github.com/rhuss/jolokia,true,,JMX over REST.
Monitoring,Tools that monitor applications in production.,Metrics,https://github.com/dropwizard/metrics,true,,Expose metrics via JMX or HTTP and send them to a database.
Monitoring,Tools that monitor applications in production.,nudge4j,https://github.com/lorenzoongithub/nudge4j,true,master,Remote developer console from the browser for Java 8 via bytecode injection.
Monitoring,Tools that monitor applications in production.,Pinpoint,https://github.com/naver/pinpoint,true,master,Open-source APM tool.
Monitoring,Tools that monitor applications in production.,Prometheus,https://github.com/prometheus/client_java,true,master,"Provides a multi-dimensional data model, DSL, autonomous server nodes and much more."
Monitoring,Tools that monitor applications in production.,Stagemonitor,https://github.com/stagemonitor/stagemonitor,true,master,Open-source performance monitoring and transaction tracing for JVM apps.
Monitoring,Tools that monitor applications in production.,Sysmon,https://github.com/palantir/Sysmon,true,master,Lightweight platform monitoring tool for Java VMs.
Monitoring,Tools that monitor applications in production.,zipkin,https://github.com/openzipkin/zipkin,true,,Distributed tracing system which gathers timing data needed to troubleshoot latency problems in microservice architectures.
Native,Tools that monitor applications in production.,JavaCPP,https://github.com/bytedeco/javacpp,true,master,Provides efficient and easy access to native C++.
Native,Tools that monitor applications in production.,JNA,https://github.com/java-native-access/jna,true,master,Work with native libraries without writing JNI. Also provides interfaces to common system libraries.
Native,Tools that monitor applications in production.,JNR,https://github.com/jnr/jnr-ffi,true,master,"Work with native libraries without writing JNI. Also provides interfaces to common system libraries. Same goals as JNA, but faster, and serves as the basis for the upcoming"
Natural Language Processing,Libraries that specialize in processing text.,CogCompNLP,https://github.com/CogComp/cogcomp-nlp,true,master,Provides common annotators for plain text input.
Natural Language Processing,Libraries that specialize in processing text.,CoreNLP,https://github.com/stanfordnlp/CoreNLP,true,,"Provides a set of fundamental tools for tasks like tagging, named entity recognition, and sentiment analysis."
Natural Language Processing,Libraries that specialize in processing text.,DKPro,https://github.com/dkpro/dkpro-core,true,,"Collection of reusable NLP tools for linguistic pre-processing, machine learning, lexical resources, etc."
Networking,Libraries for building network servers.,Comsat,https://github.com/puniverse/comsat,true,master,Integrates standard Java web-related APIs with Quasar fibers and actors.
Networking,Libraries for building network servers.,Dubbo,https://github.com/apache/dubbo,true,master,High-performance RPC framework.
Networking,Libraries for building network servers.,Grizzly,https://github.com/eclipse-ee4j/grizzly,true,,NIO framework. Used as a network layer in Glassfish.
Networking,Libraries for building network servers.,gRPC,https://github.com/grpc/grpc-java,true,master,RPC framework based on protobuf and HTTP/2.
Networking,Libraries for building network servers.,KryoNet,https://github.com/EsotericSoftware/kryonet,true,master,Provides a clean and simple API for efficient TCP and UDP client/server network communication using NIO and Kryo.
Networking,Libraries for building network servers.,MINA,https://gitbox.apache.org/repos/asf/mina,true,,"Abstract, event-driven async I/O API for network operations over TCP/IP and UDP/IP via Java NIO."
Networking,Libraries for building network servers.,Netty,https://github.com/netty/netty,true,,Framework for building high-performance network applications.
Networking,Libraries for building network servers.,Drift,https://github.com/airlift/drift,true,master,"Easy-to-use, annotation-based library for creating Thrift clients and serializable types."
Networking,Libraries for building network servers.,ServiceTalk,https://github.com/apple/servicetalk,true,main,Framework built on Netty with APIs tailored to specific protocols and support for multiple programming paradigms.
Networking,Libraries for building network servers.,sshj,https://github.com/hierynomus/sshj,true,master,"Programatically use SSH, SCP or SFTP."
Networking,Libraries for building network servers.,TLS Channel,https://github.com/marianobarrios/tls-channel,true,master,"Implements a ByteChannel interface over SSLEngine, enabling easy-to-use"
Networking,Libraries for building network servers.,Undertow,https://github.com/undertow-io,true,,Web server providing both blocking and non-blocking APIs based on NIO. Used as a network layer in WildFly.
Networking,Libraries for building network servers.,urnlib,https://github.com/slub/urnlib,true,master,"Represent, parse and encode URNs, as in RFC 2141."
ORM,APIs that handle the persistence of objects.,Apache Cayenne,https://github.com/undertow-io/undertow,true,,"Provides a clean, static API for data access. Also includes a GUI Modeler for working with database mappings, and DB reverse engineering and generation."
ORM,APIs that handle the persistence of objects.,Doma,https://github.com/domaframework/doma,true,master,Database access framework that verifies and generates source code at compile time using annotation processing as well as native SQL templates called two-way SQL.
ORM,APIs that handle the persistence of objects.,Ebean,https://github.com/ebean-orm/ebean,true,,Provides simple and fast data access.
ORM,APIs that handle the persistence of objects.,Hibernate,https://github.com/hibernate/hibernate-orm,true,,"Robust and widely used, with an active community."
ORM,APIs that handle the persistence of objects.,MyBatis,https://github.com/mybatis/mybatis-3,true,master,Couples objects with stored procedures or SQL statements.
ORM,APIs that handle the persistence of objects.,Permazen,https://github.com/permazen/permazen,true,master,Language-natural persistence layer.
ORM,APIs that handle the persistence of objects.,SimpleFlatMapper,https://github.com/arnaudroger/SimpleFlatMapper,true,master,Simple database and CSV mapper.
PDF,Tools to help with PDF file creation.,Apache PDFBox,https://github.com/apache/pdfbox,true,,Toolbox for creating and manipulating PDFs.
PDF,Tools to help with PDF file creation.,Dynamic Jasper,https://github.com/intive-FDV/DynamicJasper,true,,Abstraction layer to JasperReports.
PDF,Tools to help with PDF file creation.,DynamicReports,https://github.com/dynamicreports/dynamicreports,true,master,Simplifies JasperReports.
PDF,Tools to help with PDF file creation.,flyingsaucer,https://github.com/flyingsaucerproject/flyingsaucer,true,master,XML/XHTML and CSS 2.1 renderer.
PDF,Tools to help with PDF file creation.,JasperReports,https://github.com/TIBCOSoftware/jasperreports,true,,Complex reporting engine.
PDF,Tools to help with PDF file creation.,Open HTML to PDF,https://github.com/danfickle/openhtmltopdf,true,open-dev-v1,Properly supports modern PDF standards based on flyingsaucer and Apache PDFBox.
PDF,Tools to help with PDF file creation.,OpenPDF,https://github.com/LibrePDF/OpenPDF,true,master,Open-source iText fork.
Performance analysis,Tools to help with PDF file creation.,honest-profiler,https://github.com/jvm-profiling-tools/honest-profiler,true,master,"Low-overhead, bias-free sampling profiler."
Performance analysis,Tools to help with PDF file creation.,jHiccup,https://github.com/giltene/jHiccup,true,master,Logs and records platform JVM stalls.
Performance analysis,Tools to help with PDF file creation.,JITWatch,https://github.com/AdoptOpenJDK/jitwatch,true,master,Analyze the JIT compiler optimisations made by the HotSpot JVM.
Performance analysis,Tools to help with PDF file creation.,LatencyUtils,https://github.com/LatencyUtils/LatencyUtils,true,master,Utilities for latency measurement and reporting.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,BCEL,https://github.com/apache/commons-bcel,true,,Byte Code Engineering Library
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,BeanUtils,https://github.com/apache/commons-beanutils/,true,,Easy-to-use wrappers around the Java reflection and introspection APIs.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,BSF,https://github.com/apache/commons-bsf/,true,,Bean Scripting Framework
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Chain,https://github.com/apache/commons-chain/,true,,Chain of Responsibility pattern implementation.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,ClassScan,http://commons.apache.org/sandbox/commons-classscan/,true,,"Find Class interfaces, methods, fields, and annotations without loading."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,CLI,https://github.com/apache/commons-cli/,true,,Command-line arguments parser.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Codec,https://github.com/apache/commons-codec/,true,,"General encoding/decoding algorithms, e.g. phonetic, base64 or URL."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Collections,https://github.com/apache/commons-collections/,true,,Extends or augments the Java Collections Framework.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Compress,https://github.com/apache/commons-compress/,true,,"Defines an API for working with tar, zip and bzip2 files."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Configuration,https://github.com/apache/commons-configuration/,true,,Reading of configuration/preferences files in various formats.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,CSV,https://github.com/apache/commons-csv/,true,,Component for reading and writing comma separated value files.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,DBCP,https://github.com/apache/commons-dbcp/,true,,Database connection pooling services.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,DbUtils,https://github.com/apache/commons-dbutils/,true,,JDBC helper library.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Digester,https://github.com/apache/commons-digester/,true,,XML-to-Java-object mapping utility.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Email,https://github.com/apache/commons-email/,true,,Library for sending e-mail from Java.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Exec,https://github.com/apache/commons-exec/,true,,API for dealing with external process execution and environment management in Java.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,FileUpload,https://github.com/apache/commons-fileupload/,true,,File upload capability for your servlets and web applications.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Functor,https://github.com/apache/commons-functor/,true,,"Function that can be manipulated as an object, or an object representing a single, generic function."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Graph,https://github.com/apache/commons-graph/,true,,General purpose graph APIs and algorithms.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Imaging,https://github.com/apache/commons-imaging/,true,,Image library.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,IO,https://github.com/apache/commons-io/,true,,Collection of I/O utilities.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,JCI,https://github.com/apache/commons-jci/,true,,Java Compiler Interface.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,JCS,https://github.com/apache/commons-jcs/,true,,Java Caching System.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Jelly,https://github.com/apache/commons-jelly/,true,,XML based scripting and processing engine.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Jexl,https://github.com/apache/commons-jexl/,true,,Expression language which extends the Expression Language of the JSTL.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,JXPath,https://github.com/apache/commons-jxpath/,true,,Utilities for manipulating Java Beans using the XPath syntax.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Lang,https://github.com/apache/commons-lang/,true,,Provides extra functionality for classes in java.lang.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Logging,https://github.com/apache/commons-logging/,true,,Wrapper around a variety of logging API implementations.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Math,https://github.com/apache/commons-math/,true,,"Lightweight, self-contained mathematics and statistics components."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Net,https://github.com/apache/commons-net/,true,,Collection of network utilities and protocol implementations.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,OGNL,https://github.com/apache/commons-ognl/,true,,Object-graph navigation language.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Pool,https://github.com/apache/commons-pool/,true,,Generic object pooling component.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Proxy,https://github.com/apache/commons-proxy/,true,,Library for creating dynamic proxies.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,RDF,https://github.com/apache/commons-rdf/,true,,Common implementation of RDF 1.1 that could be implemented by systems on the JVM.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,RNG,https://github.com/apache/commons-rng/,true,,Commons Rng provides implementations of pseudo-random numbers generators.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,SCXML,https://github.com/apache/commons-scxml/,true,,Implementation of the State Chart XML specification aimed at creating and maintaining a Java SCXML engine.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Validator,https://github.com/apache/commons-validator/,true,,Framework to define validators and validation rules in an xml file.
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,VFS,https://github.com/apache/commons-vfs/,true,,"Virtual File System component for treating files, FTP, SMB, ZIP and such like as a single logical file system."
Apache Commons,Frameworks that are suites of multiple libraries encompassing several categories.,Weaver,https://github.com/apache/commons-weaver/,true,,Provides an easy way to enhance
Other,Frameworks that are suites of multiple libraries encompassing several categories.,CUBA Platform,https://www.cuba-platform.com/,false,,"High-level framework for developing enterprise applications with a rich web interface, based on Spring, EclipseLink and Vaadin."
Other,Frameworks that are suites of multiple libraries encompassing several categories.,Light-4J,https://github.com/networknt/light-4j/,true,master,"Fast, lightweight and productive microservices framework with built-in"
Other,Frameworks that are suites of multiple libraries encompassing several categories.,Orienteer,https://github.com/OrienteerBAP/Orienteer/,true,master,"Open-source business application platform for rapid configuration/development of CRM, ERP, LMS and other applications."
Other,Frameworks that are suites of multiple libraries encompassing several categories.,Spring,https://spring.io/projects/,false,,"Provides many packages for dependency injection, aspect-oriented programming, security, etc."
Processes,Libraries that help the management of operating system processes.,ch.vorburger.exec,https://github.com/vorburger/ch.vorburger.exec,true,master,Convenient API around Apache Commons Exec.
Processes,Libraries that help the management of operating system processes.,zt-exec,https://github.com/zeroturnaround/zt-exec,true,master,Provides a unified API to Apache Commons Exec and ProcessBuilder.
Processes,Libraries that help the management of operating system processes.,zt-process-killer,https://github.com/zeroturnaround/zt-process-killer,true,master,Stops processes started from Java or the system processes via PID.
Reactive libraries,Libraries for developing reactive applications.,Akka,https://akka.io,false,,"Toolkit and runtime for building concurrent, distributed, fault-tolerant and event-driven applications."
Reactive libraries,Libraries for developing reactive applications.,Reactive Streams,https://github.com/reactive-streams/reactive-streams-jvm,true,master,Provides a standard for asynchronous stream processing with non-blocking backpressure.
Reactive libraries,Libraries for developing reactive applications.,Reactor,https://github.com/reactor/reactor-core,true,master,Library for building reactive fast-data applications.
Reactive libraries,Libraries for developing reactive applications.,RxJava,https://github.com/ReactiveX/RxJava,true,3.x,Allows for composing asynchronous and event-based programs using observable sequences.
Reactive libraries,Libraries for developing reactive applications.,vert.x,https://vertx.io,false,,Polyglot event-driven application framework.
REST Frameworks,Frameworks specifically for creating RESTful services.,Dropwizard,https://github.com/dropwizard/dropwizard,true,master,"Opinionated framework for setting up modern web applications with Jetty, Jackson, Jersey and Metrics."
REST Frameworks,Frameworks specifically for creating RESTful services.,Elide,https://elide.io,false,,Opinionated framework for JSON- or GraphQL-APIs based on a JPA data model.
REST Frameworks,Frameworks specifically for creating RESTful services.,Jersey,https://jersey.github.io,false,,JAX-RS reference implementation.
REST Frameworks,Frameworks specifically for creating RESTful services.,Microserver,https://github.com/aol/micro-server,true,master,"Convenient, extensible microservices plugin system for Spring & Spring Boot. With more than 30 plugins and growing, it supports both micro-monolith and pure microservices styles."
REST Frameworks,Frameworks specifically for creating RESTful services.,Rapidoid,https://www.rapidoid.org,false,,"Simple, secure and extremely fast framework consisting of an embedded HTTP server, GUI components and dependency injection."
REST Frameworks,Frameworks specifically for creating RESTful services.,rest.li,https://github.com/linkedin/rest.li,true,master,"Framework for building robust, scalable RESTful architectures using typesafe bindings and asynchronous, non-blocking IO with an end-to-end developer workflow that promotes clean practices, uniform interface design and consistent data modeling."
REST Frameworks,Frameworks specifically for creating RESTful services.,RESTEasy,https://resteasy.github.io,false,,Fully certified and portable implementation of the JAX-RS specification.
REST Frameworks,Frameworks specifically for creating RESTful services.,RestExpress,https://github.com/RestExpress/RestExpress,true,master,Thin wrapper on the JBoss Netty HTTP stack that provides scaling and performance.
REST Frameworks,Frameworks specifically for creating RESTful services.,Restlet Framework,https://github.com/restlet/restlet-framework-java,true,2.4,"Pioneering framework with powerful routing and filtering capabilities, and a unified client and server API."
REST Frameworks,Frameworks specifically for creating RESTful services.,Spark,http://sparkjava.com,false,,Sinatra inspired framework.
REST Frameworks,Frameworks specifically for creating RESTful services.,Crnk,http://www.crnk.io,false,,"Implementation of the JSON API specification to build resource-oriented REST endpoints with sorting, filtering, paging, linking, object graphs, type-safety, bulk updates, integrations and more."
REST Frameworks,Frameworks specifically for creating RESTful services.,springdoc-openapi,https://github.com/springdoc/springdoc-openapi,true,master,Automates the generation of API documentation using Spring Boot projects.
REST Frameworks,Frameworks specifically for creating RESTful services.,Swagger,https://swagger.io,false,,"Standard, language-agnostic interface to REST APIs."
Science,Frameworks specifically for creating RESTful services.,DataMelt,https://jwork.org/dmelt/,false,,"Environment for scientific computation, data analysis and data visualization."
Science,Frameworks specifically for creating RESTful services.,Erdos,https://github.com/Erdos-Graph-Framework/Erdos,true,master,"Modular, light and easy graph framework for theoretic algorithms."
Science,Frameworks specifically for creating RESTful services.,GraphStream,http://graphstream-project.org,false,,Library for modeling and analyzing dynamic graphs.
Science,Frameworks specifically for creating RESTful services.,JFreeChart,http://www.jfree.org/jfreechart/,false,,"2D chart library for Swing, JavaFX and server-side applications."
Science,Frameworks specifically for creating RESTful services.,JGraphT,https://github.com/jgrapht/jgrapht,true,master,Graph library that provides mathematical graph-theory objects and algorithms.
Science,Frameworks specifically for creating RESTful services.,JGraphX,https://github.com/jgraph/jgraphx,true,master,Library for visualizing
Science,Frameworks specifically for creating RESTful services.,Mines Java Toolkit,https://github.com/MinesJTK/jtk,true,master,"Library for geophysical scientific computation, visualization and digital signal analysis."
Science,Frameworks specifically for creating RESTful services.,Morpheus,https://github.com/zavtech/morpheus-core,true,master,Provides a versatile two-dimensional memory efficient tabular data structure called a DataFrame to enable efficient in-memory analytics for scientific computing on the JVM.
Science,Frameworks specifically for creating RESTful services.,Orson-Charts,https://github.com/jfree/orson-charts,true,master,"Generates a wide variety of 3D charts that can be displayed with Swing and JavaFX or exported to PDF, SVG, PNG and JPEG."
Science,Frameworks specifically for creating RESTful services.,Tablesaw,https://github.com/jtablesaw/tablesaw,true,master,"Includes a data-frame, an embedded column store, and hundreds of methods to transform, summarize, or filter data."
Science,Frameworks specifically for creating RESTful services.,XChart,https://github.com/knowm/XChart,true,develop,Light-weight library for plotting data. Many customizable chart types are available.
Search,Engines that index documents for search and analysis.,Apache Lucene,https://lucene.apache.org,false,,"High-performance, full-featured, cross-platform, text search engine library."
Search,Engines that index documents for search and analysis.,Apache Solr,https://lucene.apache.org/solr/,false,,Enterprise search engine optimized for high-volume traffic.
Search,Engines that index documents for search and analysis.,Elasticsearch,https://www.elastic.co,false,,"Distributed, multitenant-capable, full-text search engine with a RESTful web interface and schema-free JSON documents."
Search,Engines that index documents for search and analysis.,Indexer4j,https://github.com/haeungun/indexer4j,true,master,Simple and light full text indexing and searching library.
Security,Engines that index documents for search and analysis.,Apache Shiro,https://shiro.apache.org,false,,"Performs authentication, authorization, cryptography and session management."
Security,Engines that index documents for search and analysis.,Bouncy Castle,https://www.bouncycastle.org/java.html,false,,"All-purpose cryptographic library and JCA provider offering a wide range of functions, from basic helpers to PGP/SMIME operations."
Security,Engines that index documents for search and analysis.,Cryptomator,https://cryptomator.org,false,,"Multiplatform, transparent, client-side encryption of files in the cloud."
Security,Engines that index documents for search and analysis.,Hdiv,https://github.com/hdiv/hdiv,true,master,"Runtime application that repels application security risks included in the OWASP Top 10, including SQL injection, cross-site scripting, cross-site request forgery, data tampering, and brute force attacks."
Security,Engines that index documents for search and analysis.,jjwt,https://github.com/jwtk/jjwt,true,master,JSON web token for Java and Android.
Security,Engines that index documents for search and analysis.,Jwks RSA,https://github.com/auth0/jwks-rsa-java,true,master,JSON Web Key Set parser.
Security,Engines that index documents for search and analysis.,Kalium,https://github.com/abstractj/kalium,true,master,Binding for the Networking and Cryptography
Security,Engines that index documents for search and analysis.,Keycloak,https://www.keycloak.org,false,,Integrated SSO and IDM for browser apps and RESTful web services.
Security,Engines that index documents for search and analysis.,Keywhiz,https://github.com/square/keywhiz,true,master,System for distributing and managing secrets.
Security,Engines that index documents for search and analysis.,Nbvcxz,https://github.com/GoSimpleLLC/nbvcxz,true,master,Advanced password strength estimation.
Security,Engines that index documents for search and analysis.,OACC,http://oaccframework.org,false,,Provides permission-based authorization services.
Security,Engines that index documents for search and analysis.,pac4j,https://github.com/pac4j/pac4j,true,master,Security engine.
Security,Engines that index documents for search and analysis.,SecurityBuilder,https://github.com/tersesystems/securitybuilder,true,master,Fluent Builder API for JCA and JSSE classes and especially X.509 certificates.
Security,Engines that index documents for search and analysis.,SSLContext-Kickstart,https://github.com/Hakky54/sslcontext-kickstart,true,master,High-level SSL context builder for configuring HTTP clients with SSL/TLS.
Security,Engines that index documents for search and analysis.,Themis,https://github.com/cossacklabs/themis,true,master,"Multi-platform high-level cryptographic library provides easy-to-use encryption for protecting sensitive data: secure messaging with forward secrecy, secure data storage"
Security,Engines that index documents for search and analysis.,Tink,https://github.com/google/tink,true,master,Provides a simple and misuse-proof API for common cryptographic tasks.
Serialization,Libraries that handle serialization with high efficiency.,FlatBuffers,https://github.com/google/flatbuffers,true,master,Memory-efficient serialization library that can access serialized data without unpacking and parsing it.
Serialization,Libraries that handle serialization with high efficiency.,FST,https://github.com/RuedigerMoeller/fast-serialization,true,master,"JDK-compatible, high-performance object graph serialization."
Serialization,Libraries that handle serialization with high efficiency.,Kryo,https://github.com/EsotericSoftware/kryo,true,master,Fast and efficient object graph serialization framework.
Serialization,Libraries that handle serialization with high efficiency.,MessagePack,https://github.com/msgpack/msgpack-java,true,develop,Efficient binary serialization format.
Serialization,Libraries that handle serialization with high efficiency.,PHP Serializer,https://github.com/marcospassos/java-php-serializer,true,master,Serializing objects in the PHP serialization format.
Server,Servers specifically used to deploy applications.,Apache Tomcat,https://tomcat.apache.org,false,,"Robust, all-round server for Servlet and JSP."
Server,Servers specifically used to deploy applications.,Apache TomEE,https://tomee.apache.org,false,,Tomcat plus Java EE.
Server,Servers specifically used to deploy applications.,Jetty,https://www.eclipse.org/jetty/,false,,"Provides a Web server and javax.servlet container, plus support for HTTP/2, WebSocket, OSGi, JMX, JNDI, JAAS and many other integrations."
Server,Servers specifically used to deploy applications.,nanohttpd,https://github.com/NanoHttpd/nanohttpd,true,master,"Tiny, easily embeddable HTTP server."
Server,Servers specifically used to deploy applications.,WildFly,https://www.wildfly.org,false,,Formerly known as JBoss and developed by Red Hat with extensive Java EE support.
Template Engine,Tools that substitute expressions in a template.,Freemarker,https://freemarker.apache.org,false,,Library to generate text output
Template Engine,Tools that substitute expressions in a template.,Handlebars.java,https://jknack.github.io/handlebars.java/,false,,Logicless and semantic Mustache templates.
Template Engine,Tools that substitute expressions in a template.,Jade4J,https://github.com/neuland/jade4j,true,master,Implementation of Pug
Template Engine,Tools that substitute expressions in a template.,Pebble,https://pebbletemplates.io,false,,Inspired by Twig and separates itself with its inheritance feature and its easy-to-read syntax. It ships with built-in autoescaping for security and it includes integrated support for internationalization.
Template Engine,Tools that substitute expressions in a template.,Rocker,https://github.com/fizzed/rocker,true,master,"Optimized, memory efficient and speedy template engine producing statically typed, plain objects."
Template Engine,Tools that substitute expressions in a template.,Thymeleaf,https://www.thymeleaf.org,false,,Aims to be a substitute for JSP and works for XML files.
Asynchronous,Tools that simplify testing asynchronous services.,Awaitility,https://github.com/awaitility/awaitility,true,master,DSL for synchronizing asynchronous operations.
Asynchronous,Tools that simplify testing asynchronous services.,ConcurrentUnit,https://github.com/jhalterman/concurrentunit,true,master,Toolkit for testing multi-threaded and asynchronous applications.
Asynchronous,Tools that simplify testing asynchronous services.,GreenMail,http://www.icegreen.com/greenmail/,false,,"In-memory email server for integration testing. Supports SMTP, POP3 and IMAP including SSL."
Asynchronous,Tools that simplify testing asynchronous services.,Hoverfly Java,https://github.com/SpectoLabs/hoverfly-java,true,master,"Native bindings for Hoverfly, a proxy which allows you to simulate HTTP services."
Asynchronous,Tools that simplify testing asynchronous services.,Karate,https://github.com/intuit/karate,true,master,"DSL that combines API test-automation, mocks and performance-testing making testing REST/HTTP services easy."
Asynchronous,Tools that simplify testing asynchronous services.,REST Assured,https://github.com/rest-assured/rest-assured,true,master,DSL for easy testing of REST/HTTP services.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,Cucumber,https://github.com/cucumber/cucumber-jvm,true,main,Provides a way to describe features in a plain language which customers can understand.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,Cukes-REST,https://github.com/ctco/cukes,true,master,Collection of Gherkin steps for REST-service testing using Cucumber.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,J8Spec,https://github.com/j8spec/j8spec,true,master,Follows a Jasmine-like syntax.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,JBehave,https://jbehave.org,false,,Extensively configurable framework that describes stories.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,JGiven,http://jgiven.org,false,,Provides a fluent API which allows for simpler composition.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,Lamdba Behave,https://github.com/RichardWarburton/lambda-behave,true,master,Aims to provide a fluent API to write tests in long and descriptive sentences that read like plain English.
BDD,Testing for the software development process that emerged from TDD and was heavily influenced by DDD and OOAD.,Serenity BDD,https://github.com/serenity-bdd/serenity-core,true,master,"Automated Acceptance testing and reporting library that works with Cucumber, JBehave and JUnit to make it easier to write high quality executable specifications."
Fixtures,Everything related to the creation and handling of random data.,Beanmother,https://github.com/keepcosmos/beanmother,true,master,Sets up beans from YAML fixtures.
Fixtures,Everything related to the creation and handling of random data.,Fixture Factory,https://github.com/six2six/fixture-factory,true,master,Generates fake objects from a template.
Fixtures,Everything related to the creation and handling of random data.,jFairy,https://github.com/Devskiller/jfairy,true,master,Fake data generator.
Fixtures,Everything related to the creation and handling of random data.,Randomized Testing,https://github.com/randomizedtesting/randomizedtesting,true,master,JUnit test runner and plugins for running JUnit tests with pseudo-randomness.
Fixtures,Everything related to the creation and handling of random data.,Java Faker,https://github.com/DiUS/java-faker,true,master,Port of Ruby's fake data generator.
Frameworks,Provide environments to run tests for a specific use case.,ArchUnit,https://github.com/TNG/ArchUnit,true,master,Test library for specifying and asserting architecture rules.
Frameworks,Provide environments to run tests for a specific use case.,Apache JMeter,http://jmeter.apache.org,false,,Functional testing and performance measurements.
Frameworks,Provide environments to run tests for a specific use case.,Arquillian,http://arquillian.org,false,,Integration and functional testing platform for Java EE containers.
Frameworks,Provide environments to run tests for a specific use case.,Citrus,https://citrusframework.org,false,,Integration testing framework that focuses on both client- and server-side messaging.
Frameworks,Provide environments to run tests for a specific use case.,Gatling,https://gatling.io,false,,"Load testing tool designed for ease of use, maintainability and high performance."
Frameworks,Provide environments to run tests for a specific use case.,JUnit,https://junit.org/junit5/,false,,Common testing framework.
Frameworks,Provide environments to run tests for a specific use case.,jqwik,https://jqwik.net,false,,Engine for property-based testing built on JUnit 5.
Frameworks,Provide environments to run tests for a specific use case.,Pact JVM,https://github.com/DiUS/pact-jvm,true,master,Consumer-driven contract testing.
Frameworks,Provide environments to run tests for a specific use case.,PIT,http://pitest.org,false,,Fast mutation-testing framework for evaluating fault-detection abilities of existing JUnit or TestNG test suites.
Matchers,Libraries that provide custom matchers.,AssertJ,https://joel-costigliola.github.io/assertj/,false,,Fluent assertions that improve readability.
Matchers,Libraries that provide custom matchers.,Hamcrest,http://hamcrest.org/JavaHamcrest/,false,,Matchers that can be combined to create flexible expressions of intent.
Matchers,Libraries that provide custom matchers.,JSONAssert,http://jsonassert.skyscreamer.org,false,,Simplifies testing JSON strings.
Matchers,Libraries that provide custom matchers.,Truth,https://truth.dev,false,,Google's fluent assertion and proposition framework.
